Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
bc1qetlg79mp2xthjjg3hc0gtnwzgfta0e88hpsvxy,2,0,0,2,4.70E-05,4.70E-05
bc1ql0h9xyd9lj7xea4pffnwhckttmmmqtwuuqh55k,2,1,0.00217147,1,0.00220426,3.28E-05
bc1q5mz4cu0zd8wjh65qp08s3ydwz0wrn0wekqj6n6,2,1,0.00087497,1,0.00087497,0
bc1qr7lmep2en7w0hq0289extftne6f6vzvk7gct7p,2,1,0.00585333,1,0.00585333,0
bc1q98j54hfgzxde7l9se364tvt3zgj52hk4hpt3x6,2,1,0.01066997,1,0.01066997,0
1uVHMXDwsrLtrdrEHDNbsPajpSNhuyegf,2,1,0.08343727,1,0.08343727,0
bc1qz5nnw07mvmxyf5zm2e3ghr268t4ayc73tsv3al,2,1,0.02627164,1,0.02627164,0
39L9PJ75XwjnKMp7MDQWnMeYUnULAzZcMw,2,1,0.00461959,1,0.00461959,0
1PouupNtVZjbScSVW3TLcuiBXrHhF7aEPw,2,1,0.00378728,1,0.00378728,0
12hnHotpdKzhhQReH4uLEiCr8xMgKNoDac,2,1,18.18375957,1,18.18375957,0
1PWhXBTxD2dDfPUfGaA4UsVEG84VuEcvZf,2,1,18.14650381,1,18.14650381,0
bc1qc4padrus574aamtm6hyf2yu7kf8grcj0742uwmmq60qm6gzztzws9pk9k7,2,1,3.30E-06,1,3.30E-06,0
bc1qclupfpy5nvxfjghkk08qlvu3yegzgcfqae5mmp,2,1,0.0009012,1,0.0009012,0
bc1q2t6wceuqj9mvxcu0terjw20fefzfnmqgjc7dl0,2,1,0.44406408,1,0.44406408,0
14oeeEzPZB8V6j2WHupWnAyMDybXhHwwWe,2,1,0.009195,1,0.009195,0
bc1quhnuqk4czaf02s04p44dxv9jguenmxyet775pp8hwur685p8sp2s4nmkmp,2,1,3.11E-05,1,3.11E-05,0
374m4riwUjHAMGsfAwDBtv44h8UL1GiBR9,2,1,0.00748071,1,0.00748071,0
bc1qqcraexm0svlf05tglma4nns7xmxlc4yx048wlpadeytz4fnzqmuszq8dz2,2,1,3.11E-05,1,3.11E-05,0
bc1q48lcghwypamqdnvajzfj3euds0j373l5j9sx47,2,1,0.00128888,1,0.00128888,0
bc1q64m9ltzzc5h8cmnnx90wqgrjm0y93rf3qhg4su,2,1,0.03969257,1,0.03969257,0
bc1qhswmn7vnexrka39jv6cma2d92ffdp8euwnqvem,2,1,0.03828567,1,0.03828567,0
bc1qdywnr87hhdfk9gf8822uacrlfpct03n6zadl9u,2,1,0.03518381,1,0.03518381,0
bc1q7n6flkxknam3jsxfkduvkepm08cj92qn94p79g7mtm8hx94zea9szvqrgf,2,1,3.11E-05,1,3.11E-05,0
bc1q7pffgp7m4c3hcxpm9sdpurek4fujvgy0dzlm4k6eqxm7evlmmjxqjnwd56,2,1,5.61E-05,1,5.61E-05,0
